Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
Garhwali/Narender Singh Negi - Pahada Unchi Dandi.opus,1.570216553,0.39075777,0.559613285,0.267353087,2.76162794,-0.482525659,3603.630552,3723.724816,20.33102021,7260.288845,-0.004039723,0.08875162,garhwali
Garhwali/Gajendra Rana - Pushpa Chori.opus,1.480182113,0.359678165,0.50946957,0.259751436,0.769916111,-5.480205092,1965.997376,2585.042857,21.27559821,3910.402794,0.010655877,0.040179578,garhwali
Garhwali/Narender Singh Negi - Bavada Re Bavada Re.opus,1.465146348,0.343436326,0.498916158,0.25867921,11.11637989,2.225083904,2135.990868,2407.067865,21.06997485,4122.473225,-0.001132179,0.050999343,garhwali
Garhwali/Narendra Singh Negi - Titri Fase.opus,1.520896351,0.319811664,0.516398849,0.261724115,0.874310871,-6.082767181,2376.184631,2869.142089,20.62844589,4608.488826,-0.011665249,0.05307835,garhwali
Garhwali/Himanshu Rawat Music - Mela Ki Chori.opus,1.460218166,0.468695594,0.527797596,0.25946766,10.08713237,0.959946802,3279.13471,3476.762542,20.70125018,6942.372325,-0.010934713,0.065949974,garhwali
Garhwali/Narender Singh Negi - Hai Teri Rumaala.opus,1.40664032,0.32340344,0.476748224,0.250812064,4.253426012,-3.356532761,1338.496061,1571.277842,21.06384277,2406.803908,-0.008830609,0.035231916,garhwali
Garhwali/Narender Singh Negi - Baaji Jailu.opus,1.574179069,0.381475543,0.508662177,0.258618082,0.264894696,-8.547756102,1884.182404,2421.518067,20.08585291,3430.19976,0.002332258,0.040232323,garhwali
Garhwali/Preetam Bhartwan - Runjhun Barkha Lagi Chaumasi.opus,1.372628524,0.288184716,0.466473356,0.251173074,3.490630667,-5.824090982,1942.70399,2256.546094,22.18154712,3441.265694,-0.003410627,0.047663221,garhwali
Garhwali/Jaspal Rana - Phoolon Ka Beech Mein Phyoli.opus,1.617323849,0.36422383,0.501548372,0.261419051,11.91398853,1.95185846,2640.698865,2878.938995,21.74601109,4923.07158,0.011808295,0.06044926,garhwali
Garhwali/Narendra Singh Negi - Ghar Bati Chitthi Aegyayee.opus,1.377019531,0.317602871,0.510979358,0.259654569,5.2937236,-4.417835362,1542.712421,1364.719381,20.42022522,2727.515198,-0.010599852,0.048654144,garhwali
Garhwali/Dinesh Uniyal - Holu Ta Kya Holu.opus,1.438241846,0.357693217,0.529574166,0.259823007,5.892727134,1.468136983,2999.820047,3396.491783,21.4339995,6605.72092,0.003448171,0.060595404,garhwali
Garhwali/Preetam Bhartwan - Gajiya.opus,1.445354556,0.359219947,0.474113551,0.249450059,9.877187053,0.44431257,3278.710894,3418.882004,21.35377428,6793.554232,-0.011160364,0.065953685,garhwali
Garhwali/Himanshu Rawat Music - Gaon Ku Baatu.opus,1.465645898,0.373838658,0.5091151,0.261367244,15.16497695,2.640005229,2590.834705,3104.501918,21.042317,5706.004364,-0.002729591,0.050000633,garhwali
Garhwali/Narendra Singh Negi - Thando Re Thando.opus,1.418158013,0.42011501,0.458891874,0.237870499,22.1066812,5.813392519,3330.888313,3697.578518,19.99782782,7299.343106,-0.016369721,0.069583048,garhwali
Garhwali/Narender Singh Negi - Maini Janya Naipal.opus,1.523661248,0.383036291,0.523313953,0.263315433,19.47694709,1.189602686,3309.27019,3447.987135,20.37774701,6859.320407,-0.000956381,0.069366969,garhwali
